Date,Sort_code,Construction,Machine,Warp_Set_No,Weft_Lot_No,Picks,Length,Percentage,F_Stops,Fsph,Atpfs,Fcmpx,W_Stops,Wsph,Atpws,Wcmpx,B_Stops,Bsph,Atpbs,Bcmpx,Speed
9/15/2024,1055,LOOM05,"60*60 164x104 63""+63""",N/A,N/A,335748,83.60,77.70,47,3.92,37.36,14,17,1.42,105.94,5.1,4,0.33,133,1.2,599
9/15/2024,1055,LOOM07,"60*60 164x104 63""+63""",N/A,N/A,340404,84.80,78.80,43,3.58,44.09,12.6,21,1.75,130.19,6.2,5,0.42,72.4,1.5,599
9/15/2024,1055,LOOM34,"60*60 164x104 63""+63""",N/A,N/A,263555,65.60,61.00,61,5.08,40.72,23.1,34,2.83,320.91,12.9,3,0.25,150.67,1.1,599
9/15/2024,1055,LOOM45,"60*60 164x104 63""+63""",N/A,N/A,278742,69.40,74.60,56,4.67,30.8,20.1,9,0.75,130.11,3.2,4,0.33,74,1.4,599
9/14/2024,1057,LOOM03,"40kw*40kw* 110*80 119.5""Plain",N/A,N/A,229298,73.60,62.60,14,1.17,74.43,6.1,77,6.42,106.18,33.6,5,0.42,64.2,2.2,508
9/14/2024,1057,LOOM12,"40kw*40kw* 110*80 119.5""Plain",N/A,N/A,347065,111.40,87.50,15,1.25,27.8,4.3,29,2.42,113.9,8.4,9,0.75,66,2.6,550
9/14/2024,1057,LOOM19,"40kw*40kw* 110*80 119.5""Plain",N/A,N/A,367035,117.80,86.10,14,1.17,31.21,3.8,38,3.17,80.66,10.4,7,0.58,60.71,1.9,600
9/14/2024,1057,LOOM25,"40kw*40kw* 110*80 119.5""Plain",N/A,N/A,369984,118.80,85.70,26,2.17,50.92,7,30,2.5,114.27,8.1,5,0.42,72.8,1.4,599
9/14/2024,1057,LOOM36,"40kw*40kw* 110*80 119.5""Plain",N/A,N/A,283964,91.20,65.80,36,3,52.58,12.7,77,6.42,89.74,27.1,8,0.67,62.88,2.8,599
9/14/2024,1057,LOOM41,"40kw*40kw* 110*80 119.5""Plain",N/A,N/A,283274,90.90,71.70,51,4.25,104.67,18,34,2.83,132.94,12,0,0,0,0,549
9/14/2024,1057,LOOM43,"40kw*40kw* 110*80 119.5""Plain",N/A,N/A,367829,118.10,92.90,17,1.42,48.47,4.6,8,0.67,85,2.2,9,0.75,66.89,2.4,549
9/14/2024,1057,LOOM44,"40kw*40kw* 110*80 119.5""Plain",N/A,N/A,347985,111.70,87.90,24,2,35.96,6.9,19,1.58,135.05,5.5,9,0.75,59.78,2.6,549
9/13/2024,1059,LOOM10,60Tencilx80cot:175*67/3-120 5mm check,N/A,N/A,280514,106.30,78.10,96,8,22.59,34.2,33,2.75,110.03,11.8,15,1.25,89.2,5.3,498
9/12/2024,1060,LOOM28,60x60:185*90-120,N/A,N/A,334001,94.20,84.30,58,4.83,41.43,17.4,28,2.33,95.57,8.4,3,0.25,65.33,0.9,550
9/12/2024,1060,LOOM32,60x60:185*90-120,N/A,N/A,148729,42.30,47.10,25,2.08,69.4,16.8,42,3.5,206.36,28.2,2,0.17,191.5,1.3,562
9/12/2024,1060,LOOM42,60x60:185*90-120,N/A,N/A,303640,85.60,76.70,53,4.42,41.19,17.5,34,2.83,163.62,11.2,4,0.33,65.5,1.3,550
